analysis	anchor_gene	candidate_gene	rank	distance	anchor_length_quintile	candidate_length_quintile	expansion_rule	selected_count	selected_prop
PRIMARY_K50	ADA	RAB8A	31	0.31676247545412045	3	3	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	ADA	PCSK9	32	0.3262538108715511	3	3	PRIMARY_K50_50	195	0.0195
PRIMARY_K50	ADA	UPF1	33	0.32900069708619634	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	ADA	CAD	34	0.32985733733205047	3	3	PRIMARY_K50_50	205	0.0205
PRIMARY_K50	ADA	PRKCG	35	0.3365797422346764	3	3	PRIMARY_K50_50	198	0.0198
PRIMARY_K50	ADA	HNF1A	36	0.3371469070872183	3	3	PRIMARY_K50_50	218	0.0218
PRIMARY_K50	ADA	RCC2	37	0.33804077786272485	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	ADA	CD9	38	0.34273488146966524	3	3	PRIMARY_K50_50	208	0.0208
PRIMARY_K50	ADA	EIF4G1	39	0.34707510962277754	3	3	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	ADA	KLHL25	40	0.348109148695864	3	3	PRIMARY_K50_50	178	0.0178
PRIMARY_K50	ADA	MAVS	41	0.3546549393319131	3	3	PRIMARY_K50_50	210	0.021
PRIMARY_K50	ADA	VANGL2	42	0.35527611479397936	3	3	PRIMARY_K50_50	222	0.0222
PRIMARY_K50	ADA	JAK3	43	0.36182585813565926	3	3	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	ADA	MLXIPL	44	0.3665397096031027	3	3	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	ADA	SEMA4A	45	0.3668798168472736	3	3	PRIMARY_K50_50	205	0.0205
PRIMARY_K50	ADA	ITGA5	46	0.36912814097608676	3	3	PRIMARY_K50_50	216	0.0216
PRIMARY_K50	ADA	ITGA3	47	0.37274782590601274	3	3	PRIMARY_K50_50	205	0.0205
PRIMARY_K50	ADA	IKBKG	48	0.3744646044909559	3	3	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	ADA	CSF1	49	0.37526070202054623	3	3	PRIMARY_K50_50	187	0.0187
PRIMARY_K50	ADA	MAG	50	0.37702267028137687	3	3	PRIMARY_K50_50	184	0.0184
PRIMARY_K50	BRCA2	ENPP1	1	0.0337670598222164	4	4	PRIMARY_K50_50	210	0.021
PRIMARY_K50	BRCA2	SMAD1	2	0.10999978717430181	4	4	PRIMARY_K50_50	211	0.0211
PRIMARY_K50	BRCA2	CLTC	3	0.12216180628855194	4	4	PRIMARY_K50_50	202	0.0202
PRIMARY_K50	BRCA2	DICER1	4	0.13478558441327357	4	4	PRIMARY_K50_50	187	0.0187
PRIMARY_K50	BRCA2	EIF2AK3	5	0.1438200239425623	4	4	PRIMARY_K50_50	211	0.0211
PRIMARY_K50	BRCA2	CASP1	6	0.1647371541252322	4	4	PRIMARY_K50_50	212	0.0212
PRIMARY_K50	BRCA2	IL18R1	7	0.18539430440784305	4	4	PRIMARY_K50_50	178	0.0178
PRIMARY_K50	BRCA2	TRPC3	8	0.18738519684288615	4	4	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	BRCA2	PDCD6IP	9	0.19198006466605216	4	4	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	BRCA2	RAG1	10	0.19256331921485015	4	4	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	BRCA2	ZDHHC2	11	0.19817116479590768	4	4	PRIMARY_K50_50	183	0.0183
PRIMARY_K50	BRCA2	DPP4	12	0.20007379022805674	4	4	PRIMARY_K50_50	217	0.0217
PRIMARY_K50	BRCA2	ACSL3	13	0.20184551786264782	4	4	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	BRCA2	EZH2	14	0.20537405522332694	4	4	PRIMARY_K50_50	223	0.0223
PRIMARY_K50	BRCA2	SCIN	15	0.2065082532483899	4	4	PRIMARY_K50_50	180	0.018
PRIMARY_K50	BRCA2	WASF1	16	0.20671004163652468	4	4	PRIMARY_K50_50	198	0.0198
PRIMARY_K50	BRCA2	NUF2	17	0.2132305653421625	4	4	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	BRCA2	RAD50	18	0.21464390808900777	4	4	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	BRCA2	KMO	19	0.21552399320512688	4	4	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	BRCA2	PRKCI	20	0.2173374855579337	4	4	PRIMARY_K50_50	210	0.021
PRIMARY_K50	BRCA2	TBX18	21	0.21861117094487156	4	4	PRIMARY_K50_50	192	0.0192
