analysis	anchor_gene	n_candidates	selected_unique_candidates	max_reuse_prop	reuse_entropy	effective_support_exp_entropy	effective_support_inverse_simpson	accepted_sets	unique_set_hashes	within_set_duplicate_sets	assignment_set_membership_mismatch
SENSITIVITY_K20	BRCA2	20	20	0.0535	2.9942557971196218	19.97049226041421	19.941968870586596	10000	10000	0	0
SENSITIVITY_K20	C4B	20	20	0.0561	2.9943952605659834	19.97327760831298	19.946527349481507	10000	10000	0	0
SENSITIVITY_K20	CARD11	20	20	0.0542	2.9942503507891343	19.97038349480955	19.940926997861535	10000	10000	0	0
SENSITIVITY_K20	CHD7	20	20	0.0557	2.9940823121172544	19.96702798002617	19.93415350414511	10000	10000	0	0
SENSITIVITY_K20	CORO1A	20	20	0.0537	2.994818444644708	19.981731770103934	19.963674098610166	10000	10000	0	0
SENSITIVITY_K20	DOCK8	20	20	0.0515	2.9954564773380192	19.99448483624617	19.989093950340695	10000	10000	0	0
SENSITIVITY_K20	ERBIN	20	20	0.0555	2.99431550889124	19.97168476949023	19.943336990941344	10000	10000	0	0
SENSITIVITY_K20	KDM6A	20	20	0.054	2.9948849465128244	19.983060636780415	19.966225133564066	10000	10000	0	0
SENSITIVITY_K20	KMT2A	20	20	0.0549	2.994603000231721	19.977427281337935	19.954734679852226	10000	10000	0	0
SENSITIVITY_K20	LRBA	20	20	0.0541	2.994231140227983	19.96999985622118	19.941475756948503	10000	10000	0	0
SENSITIVITY_K20	MCM4	20	20	0.0528	2.995095332430411	19.98726523360714	19.97462423736884	10000	10000	0	0
SENSITIVITY_K20	NSMCE3	20	20	0.0541	2.9950208114846752	19.98577581919624	19.971767908884	10000	10000	0	0
SENSITIVITY_K20	PAX5	20	20	0.0569	2.994508840013199	19.97554629097824	19.950443099341236	10000	10000	0	0
SENSITIVITY_K20	PDCD1	20	20	0.0559	2.994087511010044	19.967131786733805	19.934153504145108	10000	10000	0	0
SENSITIVITY_K20	PIK3CG	20	20	0.0553	2.994592262975223	19.977212779728625	19.954272788477926	10000	10000	0	0
SENSITIVITY_K20	PRKDC	20	20	0.0554	2.995082116599321	19.987001087031324	19.973658738855196	10000	10000	0	0
SENSITIVITY_K20	PSMD12	20	20	0.0531	2.9942463293547332	19.97030318538384	19.94220748271509	10000	10000	0	0
SENSITIVITY_K20	PTEN	20	20	0.0571	2.993890270348188	19.96319384481873	19.926415731984925	10000	10000	0	0
SENSITIVITY_K20	PTPRC	20	20	0.0553	2.9945966402364634	19.977300225399205	19.95463911436523	10000	10000	0	0
SENSITIVITY_K20	SLC7A7	20	20	0.0537	2.995091676688919	19.987192165465878	19.974336971858552	10000	10000	0	0
SENSITIVITY_K20	SRPRA	20	20	0.054	2.994829244343134	19.98194756794635	19.963729895525802	10000	10000	0	0
SENSITIVITY_K20	TET2	20	20	0.0543	2.994825298572361	19.981868723917202	19.964152368008	10000	10000	0	0
SENSITIVITY_K20	TOP2B	20	20	0.0528	2.9952278451572094	19.98991397611666	19.979892236453228	10000	10000	0	0
SENSITIVITY_K20	VPS13B	20	20	0.0556	2.993842405933931	19.962238341106133	19.925049932175128	10000	10000	0	0
