dataset	standalone_i	label_i	standalone_j	label_j	n_i	n_j	intersect_n	union_n	Jaccard	phi
SPARK	SA001	DNA recombinase assembly	SA004	SRP-dependent cotranslational protein targeting to membrane	10	18	0	28	0.0	-0.0007389517619850116
SPARK	SA001	DNA recombinase assembly	SA005	detection of molecule of bacterial origin	10	13	0	23	0.0	-0.000627901769964077
SPARK	SA001	DNA recombinase assembly	SA006	protein localization to phagophore assembly site	10	15	0	25	0.0	-0.0006745118452431712
SPARK	SA001	DNA recombinase assembly	SA007	locomotor rhythm	10	11	0	21	0.0	-0.0005775538140189475
SPARK	SA001	DNA recombinase assembly	SA008	purine ribonucleoside metabolic process	10	24	0	34	0.0	-0.0008534090528631082
SPARK	SA001	DNA recombinase assembly	SA009	response to hydroxyurea	10	9	1	18	0.05555555555555555	0.10494200805321806
SPARK	SA001	DNA recombinase assembly	SA010	mitotic DNA replication	10	13	2	21	0.09523809523809523	0.17489479300307098
SPARK	SA001	DNA recombinase assembly	SA011	Ribavirin ADME	10	11	0	21	0.0	-0.0005775538140189475
SPARK	SA001	DNA recombinase assembly	SA012	Specification of primordial germ cells	10	12	0	22	0.0	-0.0006032518952978466
SPARK	SA001	DNA recombinase assembly	SA013	GBP-mediated host defense	10	11	0	21	0.0	-0.0005775538140189475
SPARK	SA002	DNA topological change	SA003	DNA recombination	10	209	6	213	0.028169014084507043	0.12950998266425132
SPARK	SA002	DNA topological change	SA004	SRP-dependent cotranslational protein targeting to membrane	10	18	0	28	0.0	-0.0007389517619850116
SPARK	SA002	DNA topological change	SA005	detection of molecule of bacterial origin	10	13	0	23	0.0	-0.000627901769964077
SPARK	SA002	DNA topological change	SA006	protein localization to phagophore assembly site	10	15	0	25	0.0	-0.0006745118452431712
SPARK	SA002	DNA topological change	SA007	locomotor rhythm	10	11	0	21	0.0	-0.0005775538140189475
SPARK	SA002	DNA topological change	SA008	purine ribonucleoside metabolic process	10	24	0	34	0.0	-0.0008534090528631082
SPARK	SA002	DNA topological change	SA009	response to hydroxyurea	10	9	0	19	0.0	-0.0005223883144242049
SPARK	SA002	DNA topological change	SA010	mitotic DNA replication	10	13	0	23	0.0	-0.000627901769964077
SPARK	SA002	DNA topological change	SA011	Ribavirin ADME	10	11	0	21	0.0	-0.0005775538140189475
SPARK	SA002	DNA topological change	SA012	Specification of primordial germ cells	10	12	0	22	0.0	-0.0006032518952978466
SPARK	SA002	DNA topological change	SA013	GBP-mediated host defense	10	11	0	21	0.0	-0.0005775538140189475
SPARK	SA003	DNA recombination	SA004	SRP-dependent cotranslational protein targeting to membrane	209	18	0	227	0.0	-0.0033968932397684002
SPARK	SA003	DNA recombination	SA005	detection of molecule of bacterial origin	209	13	0	222	0.0	-0.002886406647032055
SPARK	SA003	DNA recombination	SA006	protein localization to phagophore assembly site	209	15	0	224	0.0	-0.003100668873290692
SPARK	SA003	DNA recombination	SA007	locomotor rhythm	209	11	0	220	0.0	-0.0026549617273707946
SPARK	SA003	DNA recombination	SA008	purine ribonucleoside metabolic process	209	24	0	233	0.0	-0.003923042871757366
SPARK	SA003	DNA recombination	SA009	response to hydroxyurea	209	9	3	215	0.013953488372093023	0.06718859889084738
SPARK	SA003	DNA recombination	SA010	mitotic DNA replication	209	13	9	213	0.04225352112676056	0.17083979099343607
SPARK	SA003	DNA recombination	SA011	Ribavirin ADME	209	11	0	220	0.0	-0.0026549617273707946
SPARK	SA003	DNA recombination	SA012	Specification of primordial germ cells	209	12	0	221	0.0	-0.0027730934418643332
SPARK	SA003	DNA recombination	SA013	GBP-mediated host defense	209	11	0	220	0.0	-0.0026549617273707946
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA005	detection of molecule of bacterial origin	18	13	0	31	0.0	-0.0008426042405915273
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA006	protein localization to phagophore assembly site	18	15	0	33	0.0	-0.0009051519972043204
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA007	locomotor rhythm	18	11	0	29	0.0	-0.0007750404858550044
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA008	purine ribonucleoside metabolic process	18	24	0	42	0.0	-0.0011452206719257912
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA009	response to hydroxyurea	18	9	0	27	0.0	-0.00070101189393761
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA010	mitotic DNA replication	18	13	0	31	0.0	-0.0008426042405915273
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA011	Ribavirin ADME	18	11	0	29	0.0	-0.0007750404858550044
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA012	Specification of primordial germ cells	18	12	0	30	0.0	-0.000809525676527273
SPARK	SA004	SRP-dependent cotranslational protein targeting to membrane	SA013	GBP-mediated host defense	18	11	0	29	0.0	-0.0007750404858550044
SPARK	SA005	detection of molecule of bacterial origin	SA006	protein localization to phagophore assembly site	13	15	0	28	0.0	-0.0007691253615856998
SPARK	SA005	detection of molecule of bacterial origin	SA007	locomotor rhythm	13	11	0	24	0.0	-0.000658567064722753
SPARK	SA005	detection of molecule of bacterial origin	SA008	purine ribonucleoside metabolic process	13	24	0	37	0.0	-0.0009731164115097398
SPARK	SA005	detection of molecule of bacterial origin	SA009	response to hydroxyurea	13	9	0	22	0.0	-0.0005956635217796845
SPARK	SA005	detection of molecule of bacterial origin	SA010	mitotic DNA replication	13	13	0	26	0.0	-0.0007159773090268216
SPARK	SA005	detection of molecule of bacterial origin	SA011	Ribavirin ADME	13	11	0	24	0.0	-0.000658567064722753
SPARK	SA005	detection of molecule of bacterial origin	SA012	Specification of primordial germ cells	13	12	0	25	0.0	-0.0006878698059497307
SPARK	SA005	detection of molecule of bacterial origin	SA013	GBP-mediated host defense	13	11	0	24	0.0	-0.000658567064722753
