database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0001738	morphogenesis of a polarized epithelium	Neither	NO	NO	NA	NO
GO_BP	GO:0001754	eye photoreceptor cell differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0001755	neural crest cell migration	Neither	NO	NO	NA	NO
GO_BP	GO:0001756	somitogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001763	morphogenesis of a branching structure	Neither	NO	NO	NA	NO
GO_BP	GO:0001764	neuron migration	Neither	NO	NO	NA	NO
GO_BP	GO:0001765	membrane raft assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0001773	myeloid dendritic cell activation	Neither	NO	NO	NA	NO
GO_BP	GO:0001774	microglial cell activation	Neither	NO	NO	NA	NO
GO_BP	GO:0001776	leukocyte homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001778	plasma membrane repair	Neither	NO	NO	NA	NO
GO_BP	GO:0001780	neutrophil homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001782	B cell homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001816	cytokine production	Neither	NO	NO	NA	NO
GO_BP	GO:0001818	negative regulation of cytokine production	Neither	NO	NO	NA	NO
GO_BP	GO:0001819	positive regulation of cytokine production	Neither	NO	NO	NA	NO
GO_BP	GO:0001822	kidney development	Neither	NO	NO	NA	NO
GO_BP	GO:0001823	mesonephros development	Neither	NO	NO	NA	NO
GO_BP	GO:0001824	blastocyst development	Neither	NO	NO	NA	NO
GO_BP	GO:0001825	blastocyst formation	Neither	NO	NO	NA	NO
GO_BP	GO:0001836	release of cytochrome c from mitochondria	Neither	NO	NO	NA	NO
GO_BP	GO:0001837	epithelial to mesenchymal transition	Neither	NO	NO	NA	NO
GO_BP	GO:0001838	embryonic epithelial tube formation	Neither	NO	NO	NA	NO
GO_BP	GO:0001841	neural tube formation	Neither	NO	NO	NA	NO
GO_BP	GO:0001843	neural tube closure	Neither	NO	NO	NA	NO
