stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009163	nucleoside biosynthetic process	8.71014733223506e-05	0.00793770380493512	0.07287350501721922	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009164	nucleoside catabolic process	9.0383464168922e-05	0.007944998060010078	0.07294047122644856	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009165	nucleotide biosynthetic process	0.222069843956206	0.6118709047327212	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009166	nucleotide catabolic process	0.0899572077523864	0.4822795150507526	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009167	purine ribonucleoside monophosphate metabolic process	3.38137911992794e-05	0.005265290343887792	0.048338936765801775	SIGNIFICANT	SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	0.000205724215992084	0.013995786755637942	0.12849081565915754	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009169	purine ribonucleoside monophosphate catabolic process	0.000114501196182454	0.009396361566721254	0.08626497266757915	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009170	purine deoxyribonucleoside monophosphate metabolic process	0.000116573152493633	0.009396361566721254	0.08626497266757915	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009173	pyrimidine ribonucleoside monophosphate metabolic process	0.171295176886685	0.5706170403978683	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009174	pyrimidine ribonucleoside monophosphate biosynthetic process	0.0926329569657841	0.48722948185483245	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009176	pyrimidine deoxyribonucleoside monophosphate metabolic process	0.157492995221604	0.5556600678892487	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009178	pyrimidine deoxyribonucleoside monophosphate catabolic process	0.127820437894424	0.5226767365702055	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009179	purine ribonucleoside diphosphate metabolic process	0.032638655670537	0.3426965312662084	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009181	purine ribonucleoside diphosphate catabolic process	0.465544843797044	0.7130912839434418	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
