stage	source	pathway_id	pathway_name	R	positive_n	positive_prop	interpretation
MDV3	GO_BP	GO:0001558	regulation of cell growth	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001562	response to protozoan	1000	37	0.037	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001568	blood vessel development	1000	0	0.0	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001569	branching involved in blood vessel morphogenesis	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001570	vasculogenesis	1000	9	0.009	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001573	ganglioside metabolic process	1000	63	0.063	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001574	ganglioside biosynthetic process	1000	31	0.031	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001578	microtubule bundle formation	1000	27	0.027	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	1000	55	0.055	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001649	osteoblast differentiation	1000	18	0.018	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001654	eye development	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001655	urogenital system development	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001656	metanephros development	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001657	ureteric bud development	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001658	branching involved in ureteric bud morphogenesis	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001659	temperature homeostasis	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001666	response to hypoxia	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001667	ameboidal-type cell migration	1000	17	0.017	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001675	acrosome assembly	1000	72	0.072	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001676	long-chain fatty acid metabolic process	1000	16	0.016	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001678	intracellular glucose homeostasis	1000	9	0.009	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001682	tRNA 5'-leader removal	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001701	in utero embryonic development	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001704	formation of primary germ layer	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001706	endoderm formation	1000	11	0.011	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001707	mesoderm formation	1000	10	0.01	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001708	cell fate specification	1000	25	0.025	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001709	cell fate determination	1000	17	0.017	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001711	endodermal cell fate commitment	1000	24	0.024	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001732	formation of cytoplasmic translation initiation complex	1000	33	0.033	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001738	morphogenesis of a polarized epithelium	1000	12	0.012	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001754	eye photoreceptor cell differentiation	1000	5	0.005	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001755	neural crest cell migration	1000	24	0.024	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001756	somitogenesis	1000	58	0.058	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001763	morphogenesis of a branching structure	1000	5	0.005	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001764	neuron migration	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001765	membrane raft assembly	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001773	myeloid dendritic cell activation	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001774	microglial cell activation	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001776	leukocyte homeostasis	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001778	plasma membrane repair	1000	5	0.005	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001780	neutrophil homeostasis	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001782	B cell homeostasis	1000	1	0.001	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001816	cytokine production	1000	5	0.005	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001818	negative regulation of cytokine production	1000	1	0.001	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001819	positive regulation of cytokine production	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001822	kidney development	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001823	mesonephros development	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001824	blastocyst development	1000	68	0.068	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001825	blastocyst formation	1000	52	0.052	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001836	release of cytochrome c from mitochondria	1000	20	0.02	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001837	epithelial to mesenchymal transition	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001838	embryonic epithelial tube formation	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
