source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag	P_emp	q_emp	observed_driver_n	T_obs_logOR	P_emp_1k	q_emp_1k	P_emp_K20	q_emp_K20	tier_class
GO_BP	GO:0006265	DNA topological change	10	26	1	9	3.79729835123829	1.09016990084825	1.66060460854611	5.93399209393047	44.5805805816282	5.26249163019834	377.659159321103	0.0004954265775931	0.023077562802414	PASS	True	A_ASMEAN_RA05	AS_mean	39	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.448230435130514	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0032490	detection of molecule of bacterial origin	13	26	1	12	3.31372691899656	0.959509419357802	1.43312301422833	5.19433082376479	27.4873780414128	4.19176972806738	180.247485097396	0.0005532315897863	0.0248388388834101	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.160392360494386	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
GO_BP	GO:0045475	locomotor rhythm	11	26	1	10	3.34473861386395	0.982334439528733	1.4193984916143	5.27007873611361	28.3531635741152	4.13463267589448	194.431270605343	0.0006619122747082	0.0282158557600621	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.016513500165135003	1	4.342817921448601	0.000999000999000999	0.1396039857578319	9.999000099990002e-05	0.005676515681765157	Tier1
Reactome	R-HSA-390450	Folding of actin by CCT/TriC	10	26	1	9	4.57123379214527	1.01120321355662	2.58931191252312	6.55315567176741	96.6632986491845	13.3206027091484	701.454244208054	6.16679075123952e-06	0.0018824128768158	PASS	True	A_ASMEAN_RA05	AS_mean	39	False		True	False	9.999000099990002e-05	0.017441113031553986	1	4.448230435130514	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
Reactome	R-HSA-9953170	GBP-mediated host defense	11	26	1	10	4.25190904135531	0.982503774956087	2.32623702776673	6.17758105494389	70.2393743068651	10.2393386008717	481.825037273391	1.50725011677635e-05	0.0036807047851678	PASS	True	A_ASMEAN_RA05	AS_mean	39	False		True	False	9.999000099990002e-05	0.017441113031553986	1	4.342817921448601	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
Reactome	R-HSA-9827857	Specification of primordial germ cells	12	26	1	11	4.1788116696056	0.987921297196564	2.24252150754024	6.11510183167095	65.2882231181161	9.41704652962791	452.642138329684	2.33791667297516e-05	0.0047576604295044	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.017441113031553986	1	4.247455740916254	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
Reactome	R-HSA-9755088	Ribavirin ADME	11	26	1	10	3.96138772524257	0.978921970830987	2.04273591873887	5.88003953174627	52.5301728385194	7.71167889003829	357.823386812599	5.19483278208314e-05	0.0079286135336544	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.017441113031553986	1	4.342817921448601	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
Reactome	R-HSA-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	28	26	1	27	3.61734830658607	0.909044986436623	1.83565287284359	5.39904374032855	37.2386911925587	6.26922581690595	221.194795375729	6.91230854035216e-05	0.009377698586411	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.017441113031553986	1	3.348681768097154	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
Reactome	R-HSA-352230	Amino acid transport across the plasma membrane	31	26	1	30	3.41638982988568	0.881044194072131	1.68957494071619	5.14320471905518	30.4592532036274	5.41717759405809	171.263741978908	0.0001054659664902	0.0109968510997823	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.017441113031553986	1	3.2431651040980864	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
Reactome	R-HSA-74217	Purine salvage	13	26	1	12	3.68680589159234	0.958896383317887	1.80740351538357	5.56620826780111	39.9171434329601	6.09460232915844	261.440903572051	0.0001206297260003	0.0112875635599782	PASS	True	A_ASMEAN_RA05	AS_mean	40	False		True	False	9.999000099990002e-05	0.017441113031553986	1	4.160392360494386	0.000999000999000999	0.17425431711145997	9.999000099990002e-05	0.007181634777698701	Tier1
