source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag
GO_BP	GO:0000712	resolution of meiotic recombination intermediates	18	26	1	17	3.80925538932032	0.899930814559039	2.04542340420681	5.57308737443383	45.1168318809595	7.7324317890552	263.245583602294	2.30767528108617e-05	0.00449172510068558	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0042110	T cell activation	255	26	6	249	2.10119226663183	0.498582355718599	1.12398880609624	3.07839572716742	8.17591197087573	3.07710372666852	21.7235239670912	2.50517009752455e-05	0.00470799207983061	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0000725	recombinational repair	124	26	3	121	2.48326561160673	0.591615629604856	1.32372028489022	3.64281093832324	11.9803236910276	3.75737390885214	38.1990611590862	2.69960215941126e-05	0.00490427725626378	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0070661	leukocyte proliferation	55	26	3	52	2.69121252950765	0.643457080014838	1.43005982708126	3.95236523193404	14.7495493460314	4.17894919877787	52.0583514091619	2.88413115934212e-05	0.00507048865110148	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0006271	DNA strand elongation involved in DNA replication	15	26	1	14	3.86904421165106	0.927792234135622	2.05060484760929	5.68748357569283	47.8965851982445	7.77260092391356	295.149962812913	3.043827676345e-05	0.00518401901127509	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0007141	male meiosis I	21	26	1	20	3.72070499244279	0.894539611930662	1.96743957031425	5.47397041457132	41.2934954515216	7.15233996011212	238.404882334216	3.19151943030902e-05	0.0052652903438878	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0009155	purine deoxyribonucleotide catabolic process	13	26	1	12	3.85239572177716	0.929088848617345	2.03141504004938	5.67337640350494	47.105780502237	7.62486822250247	291.015463083856	3.37709120909602e-05	0.0052652903438878	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009167	purine ribonucleoside monophosphate metabolic process	41	26	2	39	2.92587591499428	0.705687957944889	1.54275293309868	4.30899889688987	18.6505551983318	4.67744926779472	74.366003625309	3.38137911992794e-05	0.0052652903438878	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0045091	regulation of single stranded viral RNA replication via double stranded DNA intermediate	13	26	1	12	4.03280500352975	0.981096745674895	2.1098907166575	5.955719290402	56.4189448405388	8.24733993850132	385.954424172575	3.94791376197027e-05	0.00589349158215749	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1903826	L-arginine transmembrane transport	17	26	1	16	3.79554120642507	0.924070107522338	1.98439707649123	5.60668533635891	44.5023148279579	7.27465999942529	272.240355590934	4.00108602825371e-05	0.00589349158215749	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009126	purine nucleoside monophosphate metabolic process	46	26	2	44	2.86324344099391	0.700295756260564	1.49068898019696	4.23579790179085	17.5182543150842	4.44015364332086	69.1168051604716	4.33946495880386e-05	0.00603313094972793	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
