HGNC_id	approved_symbol	IUIS_flag	SFARI_R0_highconf_flag	SFARI_R1_highconf_flag	CoreSeed_flag	R0_group
HGNC:12779	WNT9B	0	0	0	0	Background
HGNC:4431	GOSR2	0	0	0	0	Background
HGNC:32422	RPRML	0	0	0	0	Background
HGNC:1728	CDC27	0	0	0	0	Background
HGNC:7585	MYL4	0	0	0	0	Background
HGNC:6156	ITGB3	0	1	1	0	ASD_only
HGNC:26864	EFCAB13	0	0	0	0	Background
HGNC:7900	NPEPPS	0	0	0	0	Background
HGNC:6400	KPNB1	0	0	0	0	Background
HGNC:30140	TBKBP1	0	0	0	0	Background
HGNC:11599	TBX21	1	0	0	0	IEI_only
HGNC:16387	OSBPL7	0	0	0	0	Background
HGNC:14055	MRPL10	0	0	0	0	Background
HGNC:25047	LRRC46	0	0	0	0	Background
HGNC:30381	SCRN2	0	0	0	0	Background
HGNC:14530	SP6	0	0	0	0	Background
HGNC:11207	SP2	0	0	0	0	Background
HGNC:30260	PNPO	0	0	0	0	Background
HGNC:28149	PRR15L	0	0	0	0	Background
HGNC:18673	CDK5RAP3	0	0	0	0	Background
HGNC:19356	COPZ2	0	0	0	0	Background
HGNC:7781	NFE2L1	0	0	0	0	Background
HGNC:1551	CBX1	0	0	0	0	Background
HGNC:14975	SNX11	0	0	0	0	Background
HGNC:15605	SKAP1	0	0	0	0	Background
HGNC:5111	HOXB1	0	0	0	0	Background
HGNC:5113	HOXB2	0	0	0	0	Background
HGNC:5114	HOXB3	0	0	0	0	Background
HGNC:5115	HOXB4	0	0	0	0	Background
HGNC:5116	HOXB5	0	0	0	0	Background
HGNC:5117	HOXB6	0	0	0	0	Background
HGNC:5118	HOXB7	0	0	0	0	Background
HGNC:5119	HOXB8	0	0	0	0	Background
HGNC:5120	HOXB9	0	0	0	0	Background
HGNC:30591	PRAC1	0	0	0	0	Background
HGNC:5112	HOXB13	0	0	0	0	Background
HGNC:26664	TTLL6	0	0	0	0	Background
HGNC:29912	CALCOCO2	0	0	0	0	Background
HGNC:841	ATP5MC1	0	0	0	0	Background
HGNC:25847	UBE2Z	0	0	0	0	Background
HGNC:17028	SNF8	0	0	0	0	Background
HGNC:4270	GIP	0	0	0	0	Background
HGNC:28866	IGF2BP1	0	0	0	0	Background
HGNC:24136	B4GALNT2	0	0	0	0	Background
HGNC:4412	GNGT2	0	0	0	0	Background
HGNC:29859	ABI3	0	0	0	0	Background
HGNC:16815	PHOSPHO1	0	0	0	0	Background
HGNC:29147	ZNF652	0	0	0	0	Background
HGNC:8912	PHB1	0	1	1	0	ASD_only
HGNC:7809	NGFR	0	0	0	0	Background
HGNC:8077	NXPH3	0	0	0	0	Background
HGNC:11254	SPOP	0	0	0	0	Background
HGNC:20798	SLC35B1	0	1	1	0	ASD_only
HGNC:24179	FAM117A	0	0	0	0	Background
HGNC:17016	KAT7	0	0	0	0	Background
HGNC:16641	TAC4	0	0	0	0	Background
HGNC:2917	DLX4	0	0	0	0	Background
HGNC:2916	DLX3	0	1	1	0	ASD_only
HGNC:6139	ITGA3	0	0	0	0	Background
HGNC:8810	PDK2	0	1	1	0	ASD_only
HGNC:27312	SAMD14	0	0	0	0	Background
HGNC:9298	PPP1R9B	0	1	1	0	ASD_only
HGNC:10805	SGCA	0	0	0	0	Background
HGNC:2197	COL1A1	0	0	0	0	Background
HGNC:26579	TMEM92	0	0	0	0	Background
HGNC:15517	XYLT2	0	0	0	0	Background
HGNC:14483	MRPL27	0	0	0	0	Background
HGNC:24965	EME1	0	0	0	0	Background
HGNC:28817	LRRC59	0	0	0	0	Background
HGNC:26101	ACSF2	0	0	0	0	Background
HGNC:1909	CHAD	0	0	0	0	Background
HGNC:25634	RSAD1	0	0	0	0	Background
HGNC:19677	MYCBPAP	0	0	0	0	Background
HGNC:18235	EPN3	0	0	0	0	Background
HGNC:26125	SPATA20	0	0	0	0	Background
HGNC:1394	CACNA1G	0	1	1	0	ASD_only
HGNC:54	ABCC3	0	0	0	0	Background
HGNC:28233	ANKRD40	0	0	0	0	Background
HGNC:24309	LUC7L3	0	0	0	0	Background
HGNC:30916	WFIKKN2	0	0	0	0	Background
HGNC:11979	TOB1	0	0	0	0	Background
HGNC:14524	SPAG9	0	0	0	0	Background
HGNC:7849	NME1	0	0	0	0	Background
HGNC:7850	NME2	0	0	0	0	Background
HGNC:33531	NME1-NME2	0	0	0	0	Background
HGNC:19866	MBTD1	0	0	0	0	Background
HGNC:24274	UTP18	0	0	0	0	Background
HGNC:1369	CA10	0	0	0	0	Background
HGNC:52940	LINC02089	0	0	0	0	Background
HGNC:29443	KIF2B	0	0	0	0	Background
HGNC:11983	TOM1L1	0	0	0	0	Background
HGNC:2261	COX11	0	0	0	0	Background
HGNC:19694	STXBP4	0	0	0	0	Background
HGNC:4977	HLF	0	0	0	0	Background
HGNC:7153	MMD	0	0	0	0	Background
HGNC:25607	TMEM100	0	0	0	0	Background
HGNC:8752	PCTP	0	0	0	0	Background
HGNC:26766	ANKFN1	0	0	0	0	Background
HGNC:7866	NOG	0	0	0	0	Background
HGNC:27900	C17orf67	0	0	0	0	Background
HGNC:2852	DGKE	0	0	0	0	Background
HGNC:12932	TRIM25	0	0	0	0	Background
HGNC:2184	COIL	0	0	0	0	Background
HGNC:29507	SCPEP1	0	0	0	0	Background
HGNC:367	AKAP1	0	0	0	0	Background
