source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0000730	DNA recombinase assembly	10	1
GO_BP	GO:0000731	DNA synthesis involved in DNA repair	17	1
GO_BP	GO:0000732	DNA strand displacement	1	0
GO_BP	GO:0000741	karyogamy	1	0
GO_BP	GO:0000768	syncytium formation by cell-cell fusion	22	1
GO_BP	GO:0000819	sister chromatid segregation	142	1
GO_BP	GO:0000902	cell morphogenesis	493	1
GO_BP	GO:0000910	cytokinesis	117	1
GO_BP	GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	8	0
GO_BP	GO:0000915	actomyosin contractile ring assembly	8	0
GO_BP	GO:0000916	actomyosin contractile ring contraction	1	0
GO_BP	GO:0000921	septin ring assembly	2	0
GO_BP	GO:0000956	nuclear-transcribed mRNA catabolic process	116	1
GO_BP	GO:0000957	mitochondrial RNA catabolic process	7	0
GO_BP	GO:0000958	mitochondrial mRNA catabolic process	3	0
GO_BP	GO:0000959	mitochondrial RNA metabolic process	57	1
GO_BP	GO:0000960	regulation of mitochondrial RNA catabolic process	5	0
GO_BP	GO:0000961	negative regulation of mitochondrial RNA catabolic process	2	0
GO_BP	GO:0000962	positive regulation of mitochondrial RNA catabolic process	3	0
GO_BP	GO:0000963	mitochondrial RNA processing	31	1
GO_BP	GO:0000964	mitochondrial RNA 5'-end processing	4	0
GO_BP	GO:0000965	mitochondrial RNA 3'-end processing	9	0
GO_BP	GO:0000966	RNA 5'-end processing	40	1
GO_BP	GO:0000967	rRNA 5'-end processing	7	0
GO_BP	GO:0000968	tRNA exon ligation	3	0
GO_BP	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	8	0
GO_BP	GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	4	0
GO_BP	GO:0001100	negative regulation of exit from mitosis	1	0
GO_BP	GO:0001101	response to acid chemical	112	1
GO_BP	GO:0001109	promoter clearance during DNA-templated transcription	9	0
GO_BP	GO:0001111	RNA polymerase II promoter clearance	9	0
GO_BP	GO:0001112	DNA-templated transcription open complex formation	1	0
GO_BP	GO:0001115	protein-DNA-RNA complex organization	1	0
GO_BP	GO:0001117	protein-DNA-RNA complex disassembly	1	0
GO_BP	GO:0001120	protein-DNA complex remodeling	1	0
GO_BP	GO:0001172	RNA-templated transcription	3	0
GO_BP	GO:0001173	DNA-templated transcriptional start site selection	1	0
GO_BP	GO:0001174	transcriptional start site selection at RNA polymerase II promoter	1	0
GO_BP	GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter	1	0
GO_BP	GO:0001188	RNA polymerase I preinitiation complex assembly	9	0
GO_BP	GO:0001192	maintenance of transcriptional fidelity during transcription elongation	1	0
GO_BP	GO:0001193	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II	1	0
GO_BP	GO:0001325	formation of extrachromosomal circular DNA	11	1
GO_BP	GO:0001408	guanine nucleotide transport	11	1
GO_BP	GO:0001501	skeletal system development	305	1
GO_BP	GO:0001502	cartilage condensation	7	0
GO_BP	GO:0001503	ossification	181	1
GO_BP	GO:0001504	neurotransmitter uptake	26	1
GO_BP	GO:0001507	acetylcholine catabolic process in synaptic cleft	2	0
GO_BP	GO:0001508	action potential	108	1
GO_BP	GO:0001510	RNA methylation	81	1
GO_BP	GO:0001514	selenocysteine incorporation	8	0
GO_BP	GO:0001516	prostaglandin biosynthetic process	18	1
GO_BP	GO:0001519	peptide amidation	2	0
GO_BP	GO:0001522	pseudouridine synthesis	18	1
GO_BP	GO:0001523	retinoid metabolic process	88	1
GO_BP	GO:0001525	angiogenesis	206	1
GO_BP	GO:0001539	cilium or flagellum-dependent cell motility	216	1
GO_BP	GO:0001541	ovarian follicle development	35	1
GO_BP	GO:0001542	ovulation from ovarian follicle	4	0
GO_BP	GO:0001543	ovarian follicle rupture	1	0
GO_BP	GO:0001545	primary ovarian follicle growth	1	0
GO_BP	GO:0001546	preantral ovarian follicle growth	2	0
GO_BP	GO:0001547	antral ovarian follicle growth	5	0
GO_BP	GO:0001549	cumulus cell differentiation	2	0
GO_BP	GO:0001550	ovarian cumulus expansion	3	0
GO_BP	GO:0001552	ovarian follicle atresia	1	0
GO_BP	GO:0001553	luteinization	4	0
GO_BP	GO:0001554	luteolysis	7	0
GO_BP	GO:0001555	oocyte growth	3	0
GO_BP	GO:0001556	oocyte maturation	22	1
GO_BP	GO:0001558	regulation of cell growth	356	1
GO_BP	GO:0001560	regulation of cell growth by extracellular stimulus	2	0
GO_BP	GO:0001561	fatty acid alpha-oxidation	7	0
GO_BP	GO:0001562	response to protozoan	17	1
GO_BP	GO:0001568	blood vessel development	301	1
GO_BP	GO:0001569	branching involved in blood vessel morphogenesis	14	1
GO_BP	GO:0001570	vasculogenesis	43	1
GO_BP	GO:0001572	lactosylceramide biosynthetic process	2	0
GO_BP	GO:0001573	ganglioside metabolic process	28	1
GO_BP	GO:0001574	ganglioside biosynthetic process	16	1
GO_BP	GO:0001575	globoside metabolic process	2	0
GO_BP	GO:0001576	globoside biosynthetic process	2	0
GO_BP	GO:0001578	microtubule bundle formation	125	1
GO_BP	GO:0001579	medium-chain fatty acid transport	2	0
GO_BP	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	36	1
GO_BP	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste	1	0
GO_BP	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste	2	0
GO_BP	GO:0001649	osteoblast differentiation	109	1
GO_BP	GO:0001654	eye development	245	1
GO_BP	GO:0001655	urogenital system development	28	1
GO_BP	GO:0001656	metanephros development	63	1
GO_BP	GO:0001657	ureteric bud development	56	1
GO_BP	GO:0001658	branching involved in ureteric bud morphogenesis	24	1
GO_BP	GO:0001659	temperature homeostasis	47	1
GO_BP	GO:0001661	conditioned taste aversion	1	0
GO_BP	GO:0001662	behavioral fear response	7	0
GO_BP	GO:0001666	response to hypoxia	248	1
GO_BP	GO:0001667	ameboidal-type cell migration	70	1
GO_BP	GO:0001675	acrosome assembly	29	1
GO_BP	GO:0001676	long-chain fatty acid metabolic process	109	1
GO_BP	GO:0001678	intracellular glucose homeostasis	99	1
GO_BP	GO:0001680	tRNA 3'-terminal CCA addition	3	0
GO_BP	GO:0001682	tRNA 5'-leader removal	13	1
GO_BP	GO:0001692	histamine metabolic process	3	0
GO_BP	GO:0001694	histamine biosynthetic process	2	0
GO_BP	GO:0001695	histamine catabolic process	1	0
GO_BP	GO:0001696	gastric acid secretion	6	0
GO_BP	GO:0001698	gastrin-induced gastric acid secretion	1	0
GO_BP	GO:0001701	in utero embryonic development	75	1
GO_BP	GO:0001702	gastrulation with mouth forming second	9	0
GO_BP	GO:0001704	formation of primary germ layer	75	1
GO_BP	GO:0001705	ectoderm formation	1	0
