source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0045338	farnesyl diphosphate metabolic process	4	0
GO_BP	GO:0045339	farnesyl diphosphate catabolic process	1	0
GO_BP	GO:0045342	MHC class II biosynthetic process	1	0
GO_BP	GO:0045343	regulation of MHC class I biosynthetic process	7	0
GO_BP	GO:0045344	negative regulation of MHC class I biosynthetic process	1	0
GO_BP	GO:0045345	positive regulation of MHC class I biosynthetic process	5	0
GO_BP	GO:0045346	regulation of MHC class II biosynthetic process	15	1
GO_BP	GO:0045347	negative regulation of MHC class II biosynthetic process	4	0
GO_BP	GO:0045348	positive regulation of MHC class II biosynthetic process	11	1
GO_BP	GO:0045428	regulation of nitric oxide biosynthetic process	52	1
GO_BP	GO:0045429	positive regulation of nitric oxide biosynthetic process	33	1
GO_BP	GO:0045444	fat cell differentiation	81	1
GO_BP	GO:0045445	myoblast differentiation	28	1
GO_BP	GO:0045446	endothelial cell differentiation	65	1
GO_BP	GO:0045453	bone resorption	17	1
GO_BP	GO:0045454	cell redox homeostasis	41	1
GO_BP	GO:0045471	response to ethanol	124	1
GO_BP	GO:0045472	response to ether	20	1
GO_BP	GO:0045475	locomotor rhythm	11	1
GO_BP	GO:0045494	photoreceptor cell maintenance	38	1
GO_BP	GO:0045540	regulation of cholesterol biosynthetic process	26	1
GO_BP	GO:0045541	negative regulation of cholesterol biosynthetic process	7	0
GO_BP	GO:0045542	positive regulation of cholesterol biosynthetic process	15	1
GO_BP	GO:0045575	basophil activation	3	0
GO_BP	GO:0045576	mast cell activation	24	1
GO_BP	GO:0045577	regulation of B cell differentiation	25	1
GO_BP	GO:0045578	negative regulation of B cell differentiation	5	0
GO_BP	GO:0045579	positive regulation of B cell differentiation	12	1
GO_BP	GO:0045580	regulation of T cell differentiation	167	1
GO_BP	GO:0045581	negative regulation of T cell differentiation	55	1
GO_BP	GO:0045582	positive regulation of T cell differentiation	101	1
GO_BP	GO:0045583	regulation of cytotoxic T cell differentiation	3	0
GO_BP	GO:0045584	negative regulation of cytotoxic T cell differentiation	1	0
GO_BP	GO:0045585	positive regulation of cytotoxic T cell differentiation	2	0
GO_BP	GO:0045586	regulation of gamma-delta T cell differentiation	5	0
GO_BP	GO:0045588	positive regulation of gamma-delta T cell differentiation	4	0
GO_BP	GO:0045589	regulation of regulatory T cell differentiation	43	1
GO_BP	GO:0045590	negative regulation of regulatory T cell differentiation	19	1
GO_BP	GO:0045591	positive regulation of regulatory T cell differentiation	20	1
GO_BP	GO:0045595	regulation of cell differentiation	1318	0
GO_BP	GO:0045596	negative regulation of cell differentiation	543	0
GO_BP	GO:0045597	positive regulation of cell differentiation	729	0
GO_BP	GO:0045598	regulation of fat cell differentiation	109	1
GO_BP	GO:0045599	negative regulation of fat cell differentiation	45	1
GO_BP	GO:0045600	positive regulation of fat cell differentiation	56	1
GO_BP	GO:0045601	regulation of endothelial cell differentiation	34	1
GO_BP	GO:0045602	negative regulation of endothelial cell differentiation	9	0
GO_BP	GO:0045603	positive regulation of endothelial cell differentiation	9	0
GO_BP	GO:0045604	regulation of epidermal cell differentiation	51	1
GO_BP	GO:0045605	negative regulation of epidermal cell differentiation	10	1
GO_BP	GO:0045606	positive regulation of epidermal cell differentiation	25	1
GO_BP	GO:0045607	regulation of inner ear auditory receptor cell differentiation	1	0
GO_BP	GO:0045616	regulation of keratinocyte differentiation	41	1
GO_BP	GO:0045617	negative regulation of keratinocyte differentiation	8	0
GO_BP	GO:0045618	positive regulation of keratinocyte differentiation	21	1
GO_BP	GO:0045619	regulation of lymphocyte differentiation	190	1
GO_BP	GO:0045620	negative regulation of lymphocyte differentiation	60	1
GO_BP	GO:0045621	positive regulation of lymphocyte differentiation	113	1
GO_BP	GO:0045622	regulation of T-helper cell differentiation	42	1
GO_BP	GO:0045623	negative regulation of T-helper cell differentiation	17	1
GO_BP	GO:0045624	positive regulation of T-helper cell differentiation	22	1
GO_BP	GO:0045625	regulation of T-helper 1 cell differentiation	8	0
GO_BP	GO:0045626	negative regulation of T-helper 1 cell differentiation	3	0
GO_BP	GO:0045627	positive regulation of T-helper 1 cell differentiation	4	0
GO_BP	GO:0045628	regulation of T-helper 2 cell differentiation	9	0
GO_BP	GO:0045629	negative regulation of T-helper 2 cell differentiation	3	0
GO_BP	GO:0045630	positive regulation of T-helper 2 cell differentiation	6	0
GO_BP	GO:0045631	regulation of mechanoreceptor differentiation	4	0
GO_BP	GO:0045632	negative regulation of mechanoreceptor differentiation	2	0
GO_BP	GO:0045633	positive regulation of mechanoreceptor differentiation	1	0
GO_BP	GO:0045634	regulation of melanocyte differentiation	1	0
GO_BP	GO:0045636	positive regulation of melanocyte differentiation	1	0
GO_BP	GO:0045637	regulation of myeloid cell differentiation	169	1
GO_BP	GO:0045638	negative regulation of myeloid cell differentiation	66	1
GO_BP	GO:0045639	positive regulation of myeloid cell differentiation	92	1
GO_BP	GO:0045643	regulation of eosinophil differentiation	2	0
GO_BP	GO:0045645	positive regulation of eosinophil differentiation	2	0
GO_BP	GO:0045646	regulation of erythrocyte differentiation	41	1
GO_BP	GO:0045647	negative regulation of erythrocyte differentiation	7	0
GO_BP	GO:0045648	positive regulation of erythrocyte differentiation	29	1
GO_BP	GO:0045649	regulation of macrophage differentiation	21	1
GO_BP	GO:0045650	negative regulation of macrophage differentiation	7	0
GO_BP	GO:0045651	positive regulation of macrophage differentiation	14	1
GO_BP	GO:0045652	regulation of megakaryocyte differentiation	20	1
GO_BP	GO:0045653	negative regulation of megakaryocyte differentiation	4	0
GO_BP	GO:0045654	positive regulation of megakaryocyte differentiation	10	1
GO_BP	GO:0045655	regulation of monocyte differentiation	16	1
GO_BP	GO:0045656	negative regulation of monocyte differentiation	4	0
GO_BP	GO:0045657	positive regulation of monocyte differentiation	10	1
GO_BP	GO:0045658	regulation of neutrophil differentiation	3	0
GO_BP	GO:0045659	negative regulation of neutrophil differentiation	2	0
GO_BP	GO:0045660	positive regulation of neutrophil differentiation	1	0
GO_BP	GO:0045661	regulation of myoblast differentiation	65	1
GO_BP	GO:0045662	negative regulation of myoblast differentiation	20	1
GO_BP	GO:0045663	positive regulation of myoblast differentiation	43	1
GO_BP	GO:0045664	regulation of neuron differentiation	115	1
GO_BP	GO:0045665	negative regulation of neuron differentiation	36	1
GO_BP	GO:0045666	positive regulation of neuron differentiation	58	1
GO_BP	GO:0045667	regulation of osteoblast differentiation	105	1
GO_BP	GO:0045668	negative regulation of osteoblast differentiation	39	1
GO_BP	GO:0045669	positive regulation of osteoblast differentiation	56	1
GO_BP	GO:0045670	regulation of osteoclast differentiation	60	1
GO_BP	GO:0045671	negative regulation of osteoclast differentiation	27	1
GO_BP	GO:0045672	positive regulation of osteoclast differentiation	26	1
GO_BP	GO:0045682	regulation of epidermis development	56	1
GO_BP	GO:0045683	negative regulation of epidermis development	10	1
GO_BP	GO:0045684	positive regulation of epidermis development	30	1
GO_BP	GO:0045685	regulation of glial cell differentiation	47	1
GO_BP	GO:0045686	negative regulation of glial cell differentiation	14	1
GO_BP	GO:0045687	positive regulation of glial cell differentiation	27	1
GO_BP	GO:0045717	negative regulation of fatty acid biosynthetic process	19	1
GO_BP	GO:0045719	negative regulation of glycogen biosynthetic process	7	0
GO_BP	GO:0045720	negative regulation of integrin biosynthetic process	1	0
GO_BP	GO:0045721	negative regulation of gluconeogenesis	18	1
GO_BP	GO:0045722	positive regulation of gluconeogenesis	17	1
GO_BP	GO:0045723	positive regulation of fatty acid biosynthetic process	24	1
GO_BP	GO:0045724	positive regulation of cilium assembly	30	1
GO_BP	GO:0045725	positive regulation of glycogen biosynthetic process	16	1
GO_BP	GO:0045726	positive regulation of integrin biosynthetic process	3	0
GO_BP	GO:0045727	positive regulation of translation	136	1
GO_BP	GO:0045728	respiratory burst after phagocytosis	3	0
GO_BP	GO:0045730	respiratory burst	19	1
GO_BP	GO:0045732	positive regulation of protein catabolic process	216	1
GO_BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	7	0
GO_BP	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	2	0
GO_BP	GO:0045738	negative regulation of DNA repair	40	1
GO_BP	GO:0045739	positive regulation of DNA repair	138	1
GO_BP	GO:0045740	positive regulation of DNA replication	40	1
GO_BP	GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	31	1
GO_BP	GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway	7	0
GO_BP	GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	71	1
GO_BP	GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	40	1
GO_BP	GO:0045746	negative regulation of Notch signaling pathway	34	1
GO_BP	GO:0045747	positive regulation of Notch signaling pathway	40	1
GO_BP	GO:0045751	negative regulation of Toll signaling pathway	2	0
GO_BP	GO:0045752	positive regulation of Toll signaling pathway	1	0
GO_BP	GO:0045759	negative regulation of action potential	6	0
GO_BP	GO:0045760	positive regulation of action potential	9	0
GO_BP	GO:0045761	regulation of adenylate cyclase activity	29	1
GO_BP	GO:0045762	positive regulation of adenylate cyclase activity	19	1
GO_BP	GO:0045763	negative regulation of amino acid metabolic process	5	0
GO_BP	GO:0045764	positive regulation of amino acid metabolic process	3	0
GO_BP	GO:0045765	regulation of angiogenesis	280	1
GO_BP	GO:0045766	positive regulation of angiogenesis	157	1
GO_BP	GO:0045772	positive regulation of autophagosome size	1	0
GO_BP	GO:0045773	positive regulation of axon extension	37	1
GO_BP	GO:0045776	negative regulation of blood pressure	37	1
GO_BP	GO:0045777	positive regulation of blood pressure	29	1
GO_BP	GO:0045778	positive regulation of ossification	50	1
GO_BP	GO:0045779	negative regulation of bone resorption	15	1
GO_BP	GO:0045780	positive regulation of bone resorption	15	1
GO_BP	GO:0045785	positive regulation of cell adhesion	426	1
GO_BP	GO:0045786	negative regulation of cell cycle	322	1
GO_BP	GO:0045787	positive regulation of cell cycle	290	1
GO_BP	GO:0045792	negative regulation of cell size	6	0
GO_BP	GO:0045793	positive regulation of cell size	7	0
GO_BP	GO:0045794	negative regulation of cell volume	5	0
GO_BP	GO:0045795	positive regulation of cell volume	1	0
GO_BP	GO:0045796	negative regulation of intestinal cholesterol absorption	2	0
GO_BP	GO:0045797	positive regulation of intestinal cholesterol absorption	4	0
GO_BP	GO:0045806	negative regulation of endocytosis	60	1
GO_BP	GO:0045807	positive regulation of endocytosis	153	1
GO_BP	GO:0045813	positive regulation of Wnt signaling pathway, calcium modulating pathway	1	0
GO_BP	GO:0045814	negative regulation of gene expression, epigenetic	196	1
GO_BP	GO:0045815	transcription initiation-coupled chromatin remodeling	56	1
GO_BP	GO:0045818	negative regulation of glycogen catabolic process	2	0
GO_BP	GO:0045819	positive regulation of glycogen catabolic process	3	0
GO_BP	GO:0045820	negative regulation of glycolytic process	15	1
GO_BP	GO:0045821	positive regulation of glycolytic process	25	1
GO_BP	GO:0045822	negative regulation of heart contraction	19	1
GO_BP	GO:0045823	positive regulation of heart contraction	34	1
GO_BP	GO:0045824	negative regulation of innate immune response	88	1
GO_BP	GO:0045827	negative regulation of isoprenoid metabolic process	2	0
GO_BP	GO:0045829	negative regulation of isotype switching	1	0
GO_BP	GO:0045830	positive regulation of isotype switching	19	1
GO_BP	GO:0045833	negative regulation of lipid metabolic process	99	1
GO_BP	GO:0045834	positive regulation of lipid metabolic process	137	1
GO_BP	GO:0045835	negative regulation of meiotic nuclear division	8	0
GO_BP	GO:0045836	positive regulation of meiotic nuclear division	10	1
GO_BP	GO:0045837	negative regulation of membrane potential	11	1
GO_BP	GO:0045838	positive regulation of membrane potential	12	1
GO_BP	GO:0045839	negative regulation of mitotic nuclear division	38	1
GO_BP	GO:0045840	positive regulation of mitotic nuclear division	42	1
GO_BP	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	32	1
GO_BP	GO:0045842	positive regulation of mitotic metaphase/anaphase transition	18	1
GO_BP	GO:0045843	negative regulation of striated muscle tissue development	8	0
GO_BP	GO:0045844	positive regulation of striated muscle tissue development	13	1
GO_BP	GO:0045848	positive regulation of nitrogen utilization	1	0
GO_BP	GO:0045851	pH reduction	3	0
GO_BP	GO:0045859	regulation of protein kinase activity	220	1
GO_BP	GO:0045860	positive regulation of protein kinase activity	119	1
GO_BP	GO:0045861	negative regulation of proteolysis	58	1
GO_BP	GO:0045862	positive regulation of proteolysis	67	1
GO_BP	GO:0045869	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate	10	1
GO_BP	GO:0045870	positive regulation of single stranded viral RNA replication via double stranded DNA intermediate	2	0
GO_BP	GO:0045875	negative regulation of sister chromatid cohesion	6	0
GO_BP	GO:0045876	positive regulation of sister chromatid cohesion	9	0
GO_BP	GO:0045879	negative regulation of smoothened signaling pathway	29	1
GO_BP	GO:0045880	positive regulation of smoothened signaling pathway	42	1
GO_BP	GO:0045887	positive regulation of synaptic assembly at neuromuscular junction	1	0
GO_BP	GO:0045892	negative regulation of DNA-templated transcription	1284	0
GO_BP	GO:0045893	positive regulation of DNA-templated transcription	1590	0
GO_BP	GO:0045898	regulation of RNA polymerase II transcription preinitiation complex assembly	9	0
GO_BP	GO:0045899	positive regulation of RNA polymerase II transcription preinitiation complex assembly	5	0
GO_BP	GO:0045900	negative regulation of translational elongation	6	0
GO_BP	GO:0045901	positive regulation of translational elongation	6	0
GO_BP	GO:0045905	positive regulation of translational termination	1	0
GO_BP	GO:0045906	negative regulation of vasoconstriction	12	1
GO_BP	GO:0045907	positive regulation of vasoconstriction	27	1
GO_BP	GO:0045910	negative regulation of DNA recombination	46	1
GO_BP	GO:0045911	positive regulation of DNA recombination	67	1
GO_BP	GO:0045912	negative regulation of carbohydrate metabolic process	44	1
GO_BP	GO:0045913	positive regulation of carbohydrate metabolic process	75	1
GO_BP	GO:0045916	negative regulation of complement activation	14	1
GO_BP	GO:0045917	positive regulation of complement activation	9	0
GO_BP	GO:0045920	negative regulation of exocytosis	31	1
GO_BP	GO:0045921	positive regulation of exocytosis	79	1
GO_BP	GO:0045922	negative regulation of fatty acid metabolic process	39	1
GO_BP	GO:0045923	positive regulation of fatty acid metabolic process	39	1
GO_BP	GO:0045924	regulation of female receptivity	4	0
GO_BP	GO:0045925	positive regulation of female receptivity	2	0
GO_BP	GO:0045926	negative regulation of growth	183	1
GO_BP	GO:0045927	positive regulation of growth	200	1
GO_BP	GO:0045930	negative regulation of mitotic cell cycle	188	1
GO_BP	GO:0045931	positive regulation of mitotic cell cycle	105	1
GO_BP	GO:0045932	negative regulation of muscle contraction	18	1
GO_BP	GO:0045933	positive regulation of muscle contraction	50	1
GO_BP	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1534	0
GO_BP	GO:0045936	negative regulation of phosphate metabolic process	122	1
GO_BP	GO:0045937	positive regulation of phosphate metabolic process	243	1
GO_BP	GO:0045938	positive regulation of circadian sleep/wake cycle, sleep	5	0
GO_BP	GO:0045939	negative regulation of steroid metabolic process	26	1
GO_BP	GO:0045940	positive regulation of steroid metabolic process	37	1
GO_BP	GO:0045943	positive regulation of transcription by RNA polymerase I	34	1
GO_BP	GO:0045944	positive regulation of transcription by RNA polymerase II	1142	0
GO_BP	GO:0045945	positive regulation of transcription by RNA polymerase III	20	1
GO_BP	GO:0045947	negative regulation of translational initiation	28	1
GO_BP	GO:0045948	positive regulation of translational initiation	33	1
GO_BP	GO:0045950	negative regulation of mitotic recombination	3	0
GO_BP	GO:0045953	negative regulation of natural killer cell mediated cytotoxicity	25	1
GO_BP	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	25	1
GO_BP	GO:0045955	negative regulation of calcium ion-dependent exocytosis	7	0
GO_BP	GO:0045956	positive regulation of calcium ion-dependent exocytosis	15	1
GO_BP	GO:0045957	negative regulation of complement activation, alternative pathway	3	0
GO_BP	GO:0045958	positive regulation of complement activation, alternative pathway	1	0
GO_BP	GO:0045959	negative regulation of complement activation, classical pathway	7	0
GO_BP	GO:0045960	positive regulation of complement activation, classical pathway	1	0
GO_BP	GO:0045963	negative regulation of dopamine metabolic process	4	0
GO_BP	GO:0045964	positive regulation of dopamine metabolic process	5	0
GO_BP	GO:0045967	negative regulation of growth rate	1	0
GO_BP	GO:0045976	negative regulation of mitotic cell cycle, embryonic	2	0
GO_BP	GO:0045977	positive regulation of mitotic cell cycle, embryonic	1	0
GO_BP	GO:0045980	negative regulation of nucleotide metabolic process	23	1
GO_BP	GO:0045981	positive regulation of nucleotide metabolic process	43	1
GO_BP	GO:0045986	negative regulation of smooth muscle contraction	10	1
GO_BP	GO:0045987	positive regulation of smooth muscle contraction	27	1
GO_BP	GO:0045988	negative regulation of striated muscle contraction	8	0
GO_BP	GO:0045989	positive regulation of striated muscle contraction	11	1
GO_BP	GO:0045990	carbon catabolite regulation of transcription	3	0
GO_BP	GO:0045991	carbon catabolite activation of transcription	2	0
GO_BP	GO:0045992	negative regulation of embryonic development	2	0
GO_BP	GO:0045993	negative regulation of translational initiation by iron	1	0
GO_BP	GO:0045995	regulation of embryonic development	79	1
GO_BP	GO:0046005	positive regulation of circadian sleep/wake cycle, REM sleep	1	0
GO_BP	GO:0046006	regulation of activated T cell proliferation	36	1
GO_BP	GO:0046007	negative regulation of activated T cell proliferation	13	1
GO_BP	GO:0046010	positive regulation of circadian sleep/wake cycle, non-REM sleep	3	0
GO_BP	GO:0046015	regulation of transcription by glucose	4	0
GO_BP	GO:0046016	positive regulation of transcription by glucose	1	0
GO_BP	GO:0046031	ADP metabolic process	46	1
GO_BP	GO:0046032	ADP catabolic process	40	1
GO_BP	GO:0046033	AMP metabolic process	24	1
GO_BP	GO:0046034	ATP metabolic process	150	1
GO_BP	GO:0046035	CMP metabolic process	11	1
GO_BP	GO:0046036	CTP metabolic process	18	1
GO_BP	GO:0046037	GMP metabolic process	29	1
GO_BP	GO:0046038	GMP catabolic process	6	0
GO_BP	GO:0046039	GTP metabolic process	25	1
GO_BP	GO:0046040	IMP metabolic process	18	1
GO_BP	GO:0046041	ITP metabolic process	3	0
GO_BP	GO:0046042	ITP biosynthetic process	2	0
GO_BP	GO:0046044	TMP metabolic process	3	0
GO_BP	GO:0046045	TMP catabolic process	3	0
GO_BP	GO:0046048	UDP metabolic process	9	0
GO_BP	GO:0046049	UMP metabolic process	17	1
GO_BP	GO:0046050	UMP catabolic process	8	0
GO_BP	GO:0046051	UTP metabolic process	11	1
GO_BP	GO:0046052	UTP catabolic process	1	0
GO_BP	GO:0046053	dAMP metabolic process	9	0
GO_BP	GO:0046054	dGMP metabolic process	9	0
GO_BP	GO:0046055	dGMP catabolic process	7	0
GO_BP	GO:0046056	dADP metabolic process	2	0
GO_BP	GO:0046057	dADP catabolic process	1	0
GO_BP	GO:0046058	cAMP metabolic process	25	1
GO_BP	GO:0046059	dAMP catabolic process	5	0
GO_BP	GO:0046060	dATP metabolic process	2	0
GO_BP	GO:0046061	dATP catabolic process	1	0
GO_BP	GO:0046063	dCMP metabolic process	8	0
GO_BP	GO:0046065	dCTP metabolic process	1	0
GO_BP	GO:0046066	dGDP metabolic process	2	0
GO_BP	GO:0046067	dGDP catabolic process	1	0
GO_BP	GO:0046068	cGMP metabolic process	21	1
GO_BP	GO:0046069	cGMP catabolic process	6	0
GO_BP	GO:0046070	dGTP metabolic process	2	0
GO_BP	GO:0046072	dTDP metabolic process	2	0
GO_BP	GO:0046073	dTMP metabolic process	13	1
GO_BP	GO:0046074	dTMP catabolic process	6	0
GO_BP	GO:0046075	dTTP metabolic process	4	0
GO_BP	GO:0046077	dUDP metabolic process	2	0
GO_BP	GO:0046078	dUMP metabolic process	10	1
GO_BP	GO:0046079	dUMP catabolic process	8	0
GO_BP	GO:0046080	dUTP metabolic process	2	0
GO_BP	GO:0046081	dUTP catabolic process	1	0
GO_BP	GO:0046083	adenine metabolic process	2	0
GO_BP	GO:0046084	adenine biosynthetic process	2	0
GO_BP	GO:0046085	adenosine metabolic process	8	0
GO_BP	GO:0046090	deoxyadenosine metabolic process	2	0
GO_BP	GO:0046092	deoxycytidine metabolic process	2	0
GO_BP	GO:0046094	deoxyinosine metabolic process	2	0
GO_BP	GO:0046098	guanine metabolic process	3	0
GO_BP	GO:0046099	guanine biosynthetic process	1	0
GO_BP	GO:0046100	hypoxanthine metabolic process	4	0
GO_BP	GO:0046101	hypoxanthine biosynthetic process	3	0
GO_BP	GO:0046102	inosine metabolic process	5	0
GO_BP	GO:0046103	inosine biosynthetic process	3	0
GO_BP	GO:0046104	thymidine metabolic process	4	0
GO_BP	GO:0046105	thymidine biosynthetic process	3	0
GO_BP	GO:0046108	uridine metabolic process	3	0
GO_BP	GO:0046109	uridine biosynthetic process	1	0
GO_BP	GO:0046110	xanthine metabolic process	1	0
GO_BP	GO:0046112	nucleobase biosynthetic process	20	1
GO_BP	GO:0046113	nucleobase catabolic process	5	0
GO_BP	GO:0046115	guanosine catabolic process	1	0
GO_BP	GO:0046120	2'-deoxyribonucleoside biosynthetic process	3	0
GO_BP	GO:0046121	2'-deoxyribonucleoside catabolic process	5	0
GO_BP	GO:0046122	purine deoxyribonucleoside metabolic process	4	0
GO_BP	GO:0046124	purine deoxyribonucleoside catabolic process	3	0
GO_BP	GO:0046125	pyrimidine deoxyribonucleoside metabolic process	5	0
GO_BP	GO:0046126	pyrimidine deoxyribonucleoside biosynthetic process	3	0
GO_BP	GO:0046127	pyrimidine deoxyribonucleoside catabolic process	1	0
GO_BP	GO:0046128	purine ribonucleoside metabolic process	25	1
GO_BP	GO:0046129	purine ribonucleoside biosynthetic process	7	0
GO_BP	GO:0046130	purine ribonucleoside catabolic process	6	0
GO_BP	GO:0046131	pyrimidine ribonucleoside metabolic process	3	0
GO_BP	GO:0046132	pyrimidine ribonucleoside biosynthetic process	1	0
GO_BP	GO:0046133	pyrimidine ribonucleoside catabolic process	2	0
GO_BP	GO:0046134	pyrimidine nucleoside biosynthetic process	7	0
GO_BP	GO:0046135	pyrimidine nucleoside catabolic process	4	0
GO_BP	GO:0046136	positive regulation of vitamin metabolic process	3	0
GO_BP	GO:0046137	negative regulation of vitamin metabolic process	6	0
GO_BP	GO:0046146	tetrahydrobiopterin metabolic process	9	0
GO_BP	GO:0046148	pigment biosynthetic process	35	1
GO_BP	GO:0046149	pigment catabolic process	17	1
GO_BP	GO:0046164	alcohol catabolic process	36	1
GO_BP	GO:0046165	alcohol biosynthetic process	84	1
GO_BP	GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	4	0
GO_BP	GO:0046167	glycerol-3-phosphate biosynthetic process	5	0
GO_BP	GO:0046168	glycerol-3-phosphate catabolic process	2	0
GO_BP	GO:0046173	polyol biosynthetic process	46	1
GO_BP	GO:0046174	polyol catabolic process	12	1
GO_BP	GO:0046184	aldehyde biosynthetic process	10	1
GO_BP	GO:0046185	aldehyde catabolic process	18	1
GO_BP	GO:0046189	phenol-containing compound biosynthetic process	23	1
GO_BP	GO:0046203	spermidine catabolic process	2	0
GO_BP	GO:0046204	nor-spermidine metabolic process	1	0
GO_BP	GO:0046208	spermine catabolic process	2	0
GO_BP	GO:0046209	nitric oxide metabolic process	27	1
GO_BP	GO:0046210	nitric oxide catabolic process	2	0
GO_BP	GO:0046219	indolalkylamine biosynthetic process	2	0
GO_BP	GO:0046222	aflatoxin metabolic process	9	0
GO_BP	GO:0046223	aflatoxin catabolic process	4	0
GO_BP	GO:0046226	coumarin catabolic process	1	0
GO_BP	GO:0046247	terpene catabolic process	2	0
GO_BP	GO:0046271	phenylpropanoid catabolic process	1	0
GO_BP	GO:0046272	stilbene catabolic process	1	0
GO_BP	GO:0046275	flavonoid catabolic process	1	0
GO_BP	GO:0046292	formaldehyde metabolic process	4	0
GO_BP	GO:0046293	formaldehyde biosynthetic process	1	0
GO_BP	GO:0046294	formaldehyde catabolic process	3	0
GO_BP	GO:0046295	glycolate biosynthetic process	1	0
GO_BP	GO:0046296	glycolate catabolic process	1	0
GO_BP	GO:0046305	alkanesulfonate biosynthetic process	6	0
GO_BP	GO:0046314	phosphocreatine biosynthetic process	4	0
GO_BP	GO:0046317	regulation of glucosylceramide biosynthetic process	3	0
GO_BP	GO:0046318	negative regulation of glucosylceramide biosynthetic process	1	0
GO_BP	GO:0046320	regulation of fatty acid oxidation	30	1
GO_BP	GO:0046321	positive regulation of fatty acid oxidation	14	1
GO_BP	GO:0046322	negative regulation of fatty acid oxidation	11	1
GO_BP	GO:0046324	regulation of D-glucose import across plasma membrane	46	1
GO_BP	GO:0046325	negative regulation of D-glucose import across plasma membrane	12	1
GO_BP	GO:0046326	positive regulation of D-glucose import across plasma membrane	30	1
GO_BP	GO:0046328	regulation of JNK cascade	136	1
GO_BP	GO:0046329	negative regulation of JNK cascade	35	1
GO_BP	GO:0046330	positive regulation of JNK cascade	94	1
GO_BP	GO:0046331	lateral inhibition	2	0
GO_BP	GO:0046337	phosphatidylethanolamine metabolic process	27	1
GO_BP	GO:0046338	phosphatidylethanolamine catabolic process	4	0
GO_BP	GO:0046339	diacylglycerol metabolic process	24	1
GO_BP	GO:0046340	diacylglycerol catabolic process	7	0
GO_BP	GO:0046341	CDP-diacylglycerol metabolic process	14	1
GO_BP	GO:0046348	amino sugar catabolic process	13	1
GO_BP	GO:0046349	amino sugar biosynthetic process	13	1
GO_BP	GO:0046351	disaccharide biosynthetic process	2	0
GO_BP	GO:0046352	disaccharide catabolic process	5	0
GO_BP	GO:0046356	acetyl-CoA catabolic process	4	0
GO_BP	GO:0046359	butyrate catabolic process	1	0
GO_BP	GO:0046364	monosaccharide biosynthetic process	45	1
GO_BP	GO:0046365	monosaccharide catabolic process	54	1
GO_BP	GO:0046368	GDP-L-fucose metabolic process	7	0
GO_BP	GO:0046370	fructose biosynthetic process	2	0
GO_BP	GO:0046373	L-arabinose metabolic process	2	0
GO_BP	GO:0046380	N-acetylneuraminate biosynthetic process	3	0
GO_BP	GO:0046381	CMP-N-acetylneuraminate metabolic process	4	0
GO_BP	GO:0046385	deoxyribose phosphate biosynthetic process	18	1
GO_BP	GO:0046386	deoxyribose phosphate catabolic process	33	1
GO_BP	GO:0046390	ribose phosphate biosynthetic process	161	1
GO_BP	GO:0046391	5-phosphoribose 1-diphosphate metabolic process	5	0
GO_BP	GO:0046394	carboxylic acid biosynthetic process	241	1
GO_BP	GO:0046395	carboxylic acid catabolic process	223	1
GO_BP	GO:0046398	UDP-glucuronate metabolic process	2	0
GO_BP	GO:0046415	urate metabolic process	12	1
GO_BP	GO:0046425	regulation of receptor signaling pathway via JAK-STAT	77	1
GO_BP	GO:0046426	negative regulation of receptor signaling pathway via JAK-STAT	25	1
GO_BP	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	46	1
GO_BP	GO:0046434	organophosphate catabolic process	179	1
GO_BP	GO:0046443	FAD metabolic process	1	0
GO_BP	GO:0046444	FMN metabolic process	1	0
GO_BP	GO:0046449	creatinine metabolic process	2	0
GO_BP	GO:0046452	dihydrofolate metabolic process	3	0
GO_BP	GO:0046456	icosanoid biosynthetic process	47	1
GO_BP	GO:0046457	prostanoid biosynthetic process	20	1
GO_BP	GO:0046458	hexadecanal metabolic process	1	0
GO_BP	GO:0046459	short-chain fatty acid metabolic process	13	1
GO_BP	GO:0046460	neutral lipid biosynthetic process	25	1
GO_BP	GO:0046461	neutral lipid catabolic process	40	1
GO_BP	GO:0046462	monoacylglycerol metabolic process	14	1
GO_BP	GO:0046463	acylglycerol biosynthetic process	25	1
GO_BP	GO:0046464	acylglycerol catabolic process	40	1
GO_BP	GO:0046469	platelet activating factor metabolic process	10	1
GO_BP	GO:0046470	phosphatidylcholine metabolic process	66	1
GO_BP	GO:0046471	phosphatidylglycerol metabolic process	32	1
GO_BP	GO:0046473	phosphatidic acid metabolic process	36	1
GO_BP	GO:0046474	glycerophospholipid biosynthetic process	193	1
