unit_id	biological_label_placeholder	unit_type	representative_pathway_ids	original_tier1_pathway_ids	HGNC_id	gene	raw26_anchor_flag	membership_count	membership_count_all_tier1	raw26_domain_core_flag	Expanded_flag	Compact_flag	AllTier1_flag	broad_domain_flag	freeze_timestamp	biological_label	primary_expanded_status	compact_status
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3538	F2RL1	0	2	3	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation	PRIMARY	SENSITIVITY
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3573	FADD	0	2	3	0	1	1	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation	PRIMARY	SENSITIVITY
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3608	FCAR	0	0	1	0	0	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation		
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3609	FCER1A	0	0	1	0	0	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation		
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3611	FCER1G	0	0	1	0	0	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation		
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3612	FCER2	0	0	1	0	0	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation		
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3618	FCGR2B	0	1	2	0	1	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation	PRIMARY	
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:3619	FCGR3A	0	1	2	0	1	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation	PRIMARY	
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:18509	FCRL1	0	1	2	0	1	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation	PRIMARY	
M05	GWAS_BLINDED_UNIT_M05	small_module	GO_BP::GO:0042110;GO_BP::GO:0046649	GO_BP::GO:0042110;GO_BP::GO:0045321;GO_BP::GO:0046649	HGNC:18508	FCRL5	0	1	2	0	1	0	1	0	2026-09-09T09:54:35.492033+00:00	Lymphocyte and T-cell activation	PRIMARY	
